ID,Distributor Name,Location,Car Name,Manufacturer Name,Car Type,Color,Gearbox,Number of Seats,Number of Doors,Energy,Manufactured Year,Price-$,Mileage-KM,Engine Power-HP,Purchased Date,Car Sale Status,Sold Date,Purchased Price-$,Sold Price-$,Margin-%,Sales Agent Name,Sales Rating,Sales Commission-$,Feedback
AMNVDL,Carro,Oklahoma,Yodha,Tata,Truck,White,Manual,3,2,Electric,2022,8700,72044,100,2023-12-13,Un Sold,1970-01-01,7757,0,0,Hariom,5,0,Average
CTFM5T,Automart,Utah,Scorpio,Mahindra,SUV,Red,Manual,5,5,Diesel,2016,8400,37504,120,2017-09-16,Un Sold,1970-01-01,7704,0,0,Shiva,2,0,Average
6ZPI5C,Olx,Oklahoma,Hilux,Toyota,Truck,Black,Automatic,4,2,Petrol,2017,7700,21375,200,2016-03-09,Un Sold,1970-01-01,6452,0,0,Piyush,4,0,Good
VCTDFO,Carousell,Denver,Seltos,Kia,Hatchback,White,Manual,5,5,Diesel,2018,6700,33498,150,2018-12-29,Un Sold,1970-01-01,6154,0,0,Piyush,5,0,Average
6F9Q0G,Carro,Tennessee,i20,Hyundai,Hatchback,White,Manual,4,5,Electric,2017,8200,32382,120,2023-08-04,Sold,2024-01-12,7082,8063,14,Piyush,5,196,Excellent
9SB70Z,Trust,North Carolina,Etriga,Maruti,Hatchback,Black,Automatic,4,5,Diesel,2016,6900,81424,103,2023-01-02,Un Sold,1970-01-01,5713,0,0,Pranav,3,0,Excellent
A4QPZ0,Skipper,Tucson,Hilux,Toyota,Truck,White,Automatic,4,2,Electric,2019,9000,59004,200,2016-02-29,Un Sold,1970-01-01,8330,0,0,Ram,1,0,Poor
KBTPCZ,Cars24,Columbus,Seltos,Kia,Hatchback,Black,Automatic,5,5,Diesel,2015,7000,46237,150,2016-05-23,Un Sold,1970-01-01,6281,0,0,Supriya,2,0,Good
HBK2SG,APE,California,Thar,Mahindra,SUV,White,Manual,5,3,Diesel,2024,7600,46573,130,2019-06-10,Un Sold,1970-01-01,6615,0,0,Karan,1,0,Good
STWK6M,Nufor,California,Etriga,Maruti,Hatchback,Blue,Automatic,4,5,Electric,2017,8200,2775,103,2015-11-04,Un Sold,1970-01-01,6943,0,0,Piyush,2,0,Average
FODIG1,Trivett,Texas,Yodha,Tata,Truck,White,Manual,3,2,Petrol,2017,7700,40526,100,2023-10-09,Un Sold,1970-01-01,7066,0,0,Krishna,5,0,Excellent
U0UZ5W,Zupps,Chicago,Dzire,Maruti,Sedan,Black,Manual,5,5,Hybrid,2022,7700,89475,100,2021-12-02,Un Sold,1970-01-01,6067,0,0,Sweta,3,0,Average
G6ZJA5,Carmudi,Utah,Etriga,Maruti,Hatchback,White,Manual,4,5,Electric,2019,8000,27587,103,2020-07-01,Sold,2020-04-03,7484,8112,8,Vihaan,1,126,Excellent
7ZI8WJ,Carousell,Denver,Kags,Renault,SUV,Black,Automatic,7,5,Petrol,2024,7500,96936,175,2023-03-22,Un Sold,1970-01-01,6772,0,0,Dhruv,1,0,Average
0Z4J3X,Trust,Tucson,Yodha,Tata,Truck,Blue,Manual,3,2,Petrol,2018,7600,19557,100,2015-03-05,Un Sold,1970-01-01,6903,0,0,Swapna,5,0,Poor
QJDNL5,Marchi,Chicago,Yodha,Tata,Truck,Gray,Manual,3,2,Diesel,2024,7100,63187,100,2015-02-12,Un Sold,1970-01-01,6095,0,0,Shilpa,4,0,Average
94FWV1,Trivett,California,Kags,Renault,SUV,Red,Automatic,7,5,Petrol,2017,8200,62920,175,2023-10-13,Un Sold,1970-01-01,6389,0,0,Sai,5,0,Excellent
QJ5DOU,Olx,Philadelphia,Fortuner,Toyota,SUV,Black,Manual,8,5,Hybrid,2022,8700,52524,200,2017-08-04,Sold,2022-09-01,8018,8423,5,Rithvik,3,81,Excellent
RHM7I1,Knox,Tennessee,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Diesel,2024,7600,36148,200,2019-06-03,Un Sold,1970-01-01,6944,0,0,Vishwajeet,1,0,Good
M1ZIB2,Kamkar,Florida,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Petrol,2020,7900,35124,200,2019-12-07,Un Sold,1970-01-01,5928,0,0,Sai,2,0,Poor
ORSWJU,Carsome,Columbus,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2017,6800,55505,103,2020-09-25,Un Sold,1970-01-01,6090,0,0,Anushka,4,0,Excellent
4WLWYI,Trust,Utah,Scorpio,Mahindra,SUV,Blue,Manual,5,5,Diesel,2024,7600,18683,120,2021-11-12,Un Sold,1970-01-01,6922,0,0,Anushka,1,0,Good
2D2S6D,Carro,Denver,Seltos,Kia,Hatchback,Red,Automatic,5,5,Electric,2020,7900,20977,150,2019-05-09,Un Sold,1970-01-01,7400,0,0,Anushka,3,0,Excellent
9VV9TS,Sobri,Philadelphia,i20,Hyundai,Hatchback,White,Manual,4,5,Petrol,2015,6900,42996,120,2016-10-30,Un Sold,1970-01-01,5696,0,0,Vishwajeet,5,0,Good
7UZ5JI,Knox,Portland,Creta,Hyundai,Hatchback,Red,Manual,5,5,Petrol,2022,6200,44056,113,2022-10-10,Un Sold,1970-01-01,4858,0,0,Narayan,5,0,Average
KEZ6OZ,Automart,Detroit,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2015,8500,1596,200,2019-04-06,Un Sold,1970-01-01,7771,0,0,Karan,5,0,Good
NEJDTY,Trust,Tennessee,i20,Hyundai,Hatchback,Gray,Manual,4,5,Electric,2022,7700,44489,120,2023-12-17,Un Sold,1970-01-01,6732,0,0,Sai,5,0,Average
CVEVNH,Trivett,Texas,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2018,8100,71853,120,2024-05-06,Un Sold,1970-01-01,7224,0,0,Swathi,5,0,Average
553HY2,Oto,Tennessee,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2023,9100,3528,130,2022-04-21,Un Sold,1970-01-01,8048,0,0,Shilpa,5,0,Good
8XWHPE,Cars24,Madison,Plato,Prazo,Convertible,Gray,Automatic,2,2,Petrol,2019,9000,51334,250,2015-08-02,Un Sold,1970-01-01,8314,0,0,Hariom,2,0,Average
8HMZIA,Oto,Detroit,i20,Hyundai,Hatchback,Gray,Manual,4,5,Diesel,2024,6100,49823,120,2019-06-18,Un Sold,1970-01-01,4420,0,0,Shiva,1,0,Good
E4JC2G,Ahg,San Jose,Yodha,Tata,Truck,Blue,Manual,3,2,Diesel,2017,7800,46138,100,2015-08-26,Sold,2015-07-29,6080,6104,0,Aarush,1,5,Poor
1JZYN5,Nufor,Utah,Plato,Prazo,Convertible,Black,Automatic,2,2,Electric,2017,10700,18743,250,2016-10-27,Un Sold,1970-01-01,9687,0,0,Arjuna,3,0,Good
YB6JBZ,Carousell,Detroit,Creta,Hyundai,Hatchback,Red,Automatic,5,5,Petrol,2019,6500,16893,113,2018-12-06,Un Sold,1970-01-01,4702,0,0,Preeti,2,0,Excellent
MYKWHY,Cars24,Philadelphia,i20,Hyundai,Hatchback,Blue,Automatic,4,5,Diesel,2016,6900,50426,120,2016-01-13,Un Sold,1970-01-01,5432,0,0,Narayan,4,0,Average
V5RKQP,Kamkar,San Jose,Creta,Hyundai,Hatchback,Gray,Manual,5,5,Electric,2021,7800,54336,113,2017-08-20,Un Sold,1970-01-01,6323,0,0,Ram,3,0,Average
ZYLZ4L,Carro,Texas,Swift,Maruti,Sedan,Blue,Manual,5,4,Electric,2024,8000,19397,115,2024-05-29,Un Sold,1970-01-01,6938,0,0,Krishna,5,0,Good
I36MTO,Oto,Florida,Swift,Maruti,Sedan,Gray,Automatic,5,4,Petrol,2018,7100,6390,115,2019-06-27,Un Sold,1970-01-01,6179,0,0,Aarush,3,0,Excellent
JAUKN9,Carro,Florida,Swift,Maruti,Sedan,Black,Automatic,5,4,Hybrid,2024,7500,12242,115,2021-06-02,Un Sold,1970-01-01,6248,0,0,Aditya,1,0,Average
KPSTMV,Kamkar,Madison,i20,Hyundai,Hatchback,Red,Manual,4,5,Hybrid,2021,7300,48144,120,2015-06-29,Un Sold,1970-01-01,5496,0,0,Aditya,2,0,Good
TRL6NS,Oto,North Carolina,Dzire,Maruti,Sedan,White,Manual,5,5,Petrol,2015,7400,63536,100,2020-11-07,Un Sold,1970-01-01,5584,0,0,Preeti,4,0,Excellent
CQJ5R4,Nufor,Texas,Yodha,Tata,Truck,Blue,Automatic,3,2,Petrol,2024,7000,97765,100,2020-06-25,Sold,2024-08-03,6188,7162,16,Piyush,3,195,Good
3CGDSS,Trivett,Tucson,Yodha,Tata,Truck,Gray,Manual,3,2,Diesel,2018,7700,1345,100,2016-03-16,Sold,2016-05-04,6548,6339,-3,Pavan,3,0,Excellent
YMRT5G,Kamkar,Columbus,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Diesel,2020,8000,65392,200,2021-09-29,Sold,2022-08-20,6452,5893,-9,Bhavani,2,0,Excellent
HXKK7X,Marchi,Florida,Hilux,Toyota,Truck,Blue,Automatic,4,2,Electric,2016,9300,81298,200,2017-06-23,Sold,2023-06-28,7859,9392,20,Supriya,3,307,Excellent
XTWDXG,Carmix,Detroit,Swift,Maruti,Sedan,Black,Automatic,5,4,Diesel,2023,6700,68346,115,2024-08-08,Un Sold,1970-01-01,6110,0,0,Hariom,4,0,Poor
8QZ10S,Carmix,Philadelphia,Seltos,Kia,Hatchback,Red,Manual,5,5,Hybrid,2018,7600,86480,150,2018-10-08,Un Sold,1970-01-01,6804,0,0,Anushka,2,0,Good
7M2O2Y,Carsome,Chicago,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2018,6700,96613,103,2020-09-12,Un Sold,1970-01-01,5548,0,0,Dhruv,2,0,Excellent
R18SJO,APE,Chicago,Seltos,Kia,Hatchback,Red,Manual,5,5,Hybrid,2017,7700,2849,150,2023-03-07,Un Sold,1970-01-01,6593,0,0,Bhavani,2,0,Good
QRJKHU,Carousell,Columbus,i20,Hyundai,Hatchback,White,Automatic,4,5,Diesel,2017,6800,87877,120,2021-02-15,Sold,2021-03-27,6200,7027,13,Pavan,4,165,Excellent
1A6156,Motor,Detroit,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2023,7600,40560,200,2018-09-28,Un Sold,1970-01-01,6438,0,0,Hariom,2,0,Average
5L3LL4,Skipper,Madison,Scorpio,Mahindra,SUV,Red,Automatic,5,5,Petrol,2021,7800,93422,120,2019-06-28,Sold,2021-01-15,6102,4970,-19,Narayan,5,0,Excellent
EY3OZ1,APE,California,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Petrol,2020,6400,68035,103,2020-05-04,Un Sold,1970-01-01,5801,0,0,Sweta,5,0,Average
3X9AY1,Marchi,Utah,Dzire,Maruti,Sedan,Black,Manual,5,5,Petrol,2015,7400,83801,100,2024-04-15,Un Sold,1970-01-01,5481,0,0,Shailaja,4,0,Good
7MXX8J,Trust,Tucson,Seltos,Kia,Hatchback,Black,Manual,5,5,Electric,2015,8400,95261,150,2017-06-26,Un Sold,1970-01-01,7722,0,0,Rithvik,3,0,Average
SAVS5D,Automart,North Carolina,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2018,9100,25612,100,2023-09-28,Un Sold,1970-01-01,7627,0,0,Shiva,4,0,Average
IXX9HQ,Carousell,Philadelphia,Thar,Mahindra,SUV,Red,Automatic,5,3,Electric,2021,9300,5109,130,2024-07-14,Un Sold,1970-01-01,7684,0,0,Swathi,1,0,Excellent
J0G6Q1,Trust,Utah,Kags,Renault,SUV,Blue,Automatic,7,5,Hybrid,2020,8900,20544,175,2020-08-07,Un Sold,1970-01-01,6974,0,0,Rithvik,3,0,Average
LZIBFK,Cars24,Oklahoma,Seltos,Kia,Hatchback,Black,Manual,5,5,Petrol,2018,6600,48985,150,2020-08-27,Un Sold,1970-01-01,5285,0,0,Preeti,3,0,Average
IG8AN4,Cars24,Utah,i20,Hyundai,Hatchback,Red,Automatic,4,5,Hybrid,2024,7000,6187,120,2020-04-03,Sold,2020-10-23,6080,6000,-1,Hariom,1,0,Good
TTWEB3,Sobri,Tennessee,Yodha,Tata,Truck,Black,Manual,3,2,Electric,2016,9300,48796,100,2015-09-03,Un Sold,1970-01-01,7550,0,0,Rithvik,1,0,Good
NCCM68,Carousell,Portland,Etriga,Maruti,Hatchback,Black,Manual,4,5,Hybrid,2021,7300,71878,103,2023-06-12,Un Sold,1970-01-01,5563,0,0,Hariom,3,0,Excellent
D2MP5I,Marchi,Philadelphia,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Diesel,2021,6400,65553,103,2020-03-05,Sold,2023-07-10,5081,5795,14,Krishna,5,143,Good
G61RX0,Carro,Denver,Thar,Mahindra,SUV,Blue,Manual,5,3,Petrol,2016,8300,9295,130,2023-01-05,Un Sold,1970-01-01,6659,0,0,Sweta,3,0,Poor
B18LAI,Knox,Denver,Fortuner,Toyota,SUV,Black,Automatic,8,5,Diesel,2015,8500,21157,200,2023-03-21,Un Sold,1970-01-01,7396,0,0,Rithvik,4,0,Excellent
MQDMZX,Ahg,North Carolina,Dzire,Maruti,Sedan,Gray,Manual,5,5,Hybrid,2017,8200,62562,100,2020-08-22,Un Sold,1970-01-01,7522,0,0,Shilpa,5,0,Poor
W3N6GC,Trivett,California,Yodha,Tata,Truck,Red,Automatic,3,2,Petrol,2024,7000,9023,100,2019-12-23,Sold,2020-06-16,5276,4938,-6,Narayan,1,0,Excellent
1GJOBW,Motor,California,Plato,Prazo,Convertible,Black,Manual,2,2,Hybrid,2021,9800,11719,250,2023-07-28,Un Sold,1970-01-01,9046,0,0,Pranav,2,0,Average
JDD9H3,Trivett,Oklahoma,i20,Hyundai,Hatchback,Red,Automatic,4,5,Diesel,2016,6900,34328,120,2020-12-25,Un Sold,1970-01-01,5515,0,0,Shailaja,1,0,Good
G0UC2X,Carousell,Oklahoma,Fortuner,Toyota,SUV,Red,Manual,8,5,Petrol,2020,7900,18701,200,2017-05-31,Un Sold,1970-01-01,6080,0,0,Bhavani,2,0,Good
RW7LQY,Marchi,California,Creta,Hyundai,Hatchback,Blue,Manual,5,5,Hybrid,2024,7000,70112,113,2015-11-16,Un Sold,1970-01-01,6023,0,0,Narayan,4,0,Good
ALXRLJ,Olx,North Carolina,Plato,Prazo,Convertible,White,Manual,2,2,Hybrid,2021,9800,29019,250,2015-01-15,Un Sold,1970-01-01,9296,0,0,Arjuna,1,0,Excellent
UXGK4K,Sobri,Philadelphia,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Electric,2024,9000,11150,120,2023-12-19,Sold,2024-02-23,8111,8098,0,Sweta,1,0,Excellent
RCU3VW,Skipper,California,Hilux,Toyota,Truck,Red,Manual,4,2,Petrol,2018,7600,23778,200,2022-03-21,Un Sold,1970-01-01,6814,0,0,Vishwajeet,3,0,Excellent
EV95OH,Zupps,Texas,Fortuner,Toyota,SUV,Gray,Automatic,8,5,Hybrid,2021,8800,18644,200,2019-05-03,Un Sold,1970-01-01,7379,0,0,Preeti,5,0,Excellent
QN9SRH,Automart,Portland,Seltos,Kia,Hatchback,Black,Manual,5,5,Hybrid,2015,7900,70595,150,2023-05-31,Un Sold,1970-01-01,7072,0,0,Shilpa,1,0,Excellent
LALQK8,Trivett,Detroit,i20,Hyundai,Hatchback,Blue,Manual,4,5,Electric,2020,7900,13681,120,2017-08-26,Un Sold,1970-01-01,6020,0,0,Vihaan,2,0,Good
Q0J603,Oto,Texas,Fortuner,Toyota,SUV,Gray,Manual,8,5,Hybrid,2020,8900,1564,200,2020-07-26,Un Sold,1970-01-01,7767,0,0,Pavan,3,0,Average
SEP170,Kamkar,Chicago,Yodha,Tata,Truck,Blue,Automatic,3,2,Electric,2016,9300,21834,100,2021-06-06,Sold,2024-12-13,8691,8976,3,Shilpa,4,57,Average
WHXGXU,APE,Denver,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Petrol,2021,7800,70700,200,2017-06-17,Sold,2022-02-09,5887,6288,7,Vishwajeet,1,80,Poor
T2OY11,Zupps,Denver,Fortuner,Toyota,SUV,Blue,Manual,8,5,Diesel,2017,8300,50769,200,2021-02-02,Sold,2024-08-04,7119,6857,-4,Shruthi,1,0,Excellent
9VI17L,Oto,Utah,Dzire,Maruti,Sedan,Red,Automatic,5,5,Hybrid,2017,8200,48126,100,2019-01-26,Un Sold,1970-01-01,6477,0,0,Dhruv,3,0,Average
G327Y4,Trivett,North Carolina,Scorpio,Mahindra,SUV,Black,Automatic,5,5,Hybrid,2021,8800,13825,120,2016-05-27,Un Sold,1970-01-01,7723,0,0,Aarush,1,0,Average
EBKKV0,Kamkar,New York,Thar,Mahindra,SUV,Blue,Automatic,5,3,Diesel,2018,8200,11960,130,2020-01-02,Un Sold,1970-01-01,6475,0,0,Vihaan,5,0,Excellent
OF9OEP,Carmix,Philadelphia,Hilux,Toyota,Truck,Blue,Manual,4,2,Hybrid,2015,8900,91588,200,2018-10-28,Un Sold,1970-01-01,7456,0,0,Anushka,5,0,Excellent
EGOVGU,Trivett,Texas,Yodha,Tata,Truck,Blue,Automatic,3,2,Diesel,2019,7600,60253,100,2017-03-19,Sold,2020-08-26,6654,6166,-7,Pavan,2,0,Average
02MD8J,APE,North Carolina,Plato,Prazo,Convertible,Gray,Manual,2,2,Petrol,2018,9100,12551,250,2018-02-13,Sold,2024-08-08,8529,9238,8,Supriya,4,142,Poor
CGLUWH,Trivett,San Jose,i20,Hyundai,Hatchback,White,Automatic,4,5,Hybrid,2015,7900,40275,120,2020-12-28,Sold,2022-03-01,6068,7394,22,Sai,5,265,Excellent
AY1GFT,Carro,Madison,Kags,Renault,SUV,Blue,Automatic,7,5,Petrol,2020,7900,3079,175,2020-07-03,Un Sold,1970-01-01,6483,0,0,Anushka,3,0,Good
DJT6XL,Motor,Utah,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2019,8000,55735,120,2015-02-16,Sold,2016-02-25,6116,5731,-6,Bhavani,3,0,Average
UOVS4U,Sobri,San Jose,Fortuner,Toyota,SUV,Black,Manual,8,5,Electric,2016,9800,11356,200,2021-10-09,Sold,2024-03-15,8416,7408,-12,Anushka,5,0,Excellent
GC2JBM,Skipper,Texas,i20,Hyundai,Hatchback,Black,Automatic,4,5,Diesel,2015,7000,36117,120,2023-06-07,Un Sold,1970-01-01,5396,0,0,Arjuna,1,0,Excellent
KMRFUE,Ahg,Florida,Hilux,Toyota,Truck,Red,Manual,4,2,Electric,2021,8800,50698,200,2020-04-08,Un Sold,1970-01-01,7822,0,0,Vihaan,2,0,Good
CZHNC3,Zupps,New York,Yodha,Tata,Truck,White,Automatic,3,2,Electric,2017,9200,33344,100,2020-06-22,Un Sold,1970-01-01,7940,0,0,Shailaja,3,0,Good
YTBGCL,Ahg,North Carolina,Dzire,Maruti,Sedan,Black,Manual,5,5,Petrol,2023,6600,60777,100,2019-01-25,Un Sold,1970-01-01,5743,0,0,Vishwajeet,4,0,Good
KTDD8N,Olx,Utah,Kags,Renault,SUV,Blue,Automatic,7,5,Diesel,2017,8300,88136,175,2019-07-16,Un Sold,1970-01-01,7312,0,0,Piyush,5,0,Excellent
QHP4I1,Trust,North Carolina,Fortuner,Toyota,SUV,White,Manual,8,5,Diesel,2021,7900,30231,200,2015-03-13,Un Sold,1970-01-01,6370,0,0,Ram,3,0,Good
YWS2VE,Cars24,Oklahoma,Etriga,Maruti,Hatchback,Gray,Manual,4,5,Hybrid,2021,7300,42472,103,2015-09-18,Un Sold,1970-01-01,5935,0,0,Pranav,5,0,Excellent
JTCEHR,Trust,New York,Plato,Prazo,Convertible,Red,Automatic,2,2,Petrol,2023,8600,29185,250,2015-04-30,Un Sold,1970-01-01,6876,0,0,Shailaja,4,0,Poor
NT8FBT,Trivett,San Jose,Fortuner,Toyota,SUV,Gray,Manual,8,5,Diesel,2020,8000,77484,200,2020-05-02,Un Sold,1970-01-01,7432,0,0,Arjuna,1,0,Excellent
ALYISL,Marchi,Utah,Etriga,Maruti,Hatchback,Black,Manual,4,5,Diesel,2019,6600,28549,103,2019-04-07,Un Sold,1970-01-01,5619,0,0,Dhruv,2,0,Good
QFB2VP,Automart,North Carolina,i20,Hyundai,Hatchback,Red,Manual,4,5,Petrol,2018,6600,52254,120,2015-03-23,Un Sold,1970-01-01,5559,0,0,Anushka,5,0,Average
BSAGS8,Trivett,Tennessee,i20,Hyundai,Hatchback,Black,Manual,4,5,Diesel,2019,6600,31453,120,2021-11-21,Un Sold,1970-01-01,5401,0,0,Shruthi,5,0,Excellent
GZCUC8,Zupps,Oklahoma,Etriga,Maruti,Hatchback,Red,Automatic,4,5,Petrol,2019,6500,17589,103,2015-03-05,Un Sold,1970-01-01,4628,0,0,Sweta,5,0,Excellent
278JHQ,Marchi,Philadelphia,Plato,Prazo,Convertible,Black,Automatic,2,2,Diesel,2017,9300,1527,250,2021-05-19,Un Sold,1970-01-01,7958,0,0,Supriya,3,0,Excellent
AMT0PZ,Carsome,Tennessee,Seltos,Kia,Hatchback,Gray,Automatic,5,5,Petrol,2018,6600,70313,150,2017-07-10,Un Sold,1970-01-01,4972,0,0,Krishna,5,0,Good
SHOLDJ,Marchi,Florida,Hilux,Toyota,Truck,Blue,Automatic,4,2,Diesel,2022,7300,64403,200,2016-04-21,Sold,2024-08-25,6729,7897,17,Swapna,4,234,Average
U4YU64,APE,Florida,Hilux,Toyota,Truck,Black,Manual,4,2,Diesel,2020,7500,77367,200,2021-10-08,Un Sold,1970-01-01,5897,0,0,Aarush,5,0,Good
I43SXC,Nufor,North Carolina,i20,Hyundai,Hatchback,Red,Manual,4,5,Electric,2024,7500,55414,120,2016-04-05,Un Sold,1970-01-01,5613,0,0,Narayan,3,0,Good
XRIB4A,Knox,Madison,i20,Hyundai,Hatchback,Gray,Manual,4,5,Petrol,2022,6200,52758,120,2024-05-01,Un Sold,1970-01-01,4502,0,0,Ram,1,0,Excellent
X7JBA6,Carsome,North Carolina,Fortuner,Toyota,SUV,Blue,Automatic,8,5,Electric,2020,9400,64966,200,2017-05-13,Un Sold,1970-01-01,8885,0,0,Pranav,4,0,Average
